T100 WAVELENGTH,T100 POWER,BRISTOL WAVELENGTH,BRISTOL POWER,POWER METER POWER
1465,-0.04,1465.1019,-0.390,+6.33725200E-010
1465.1,-0.04,1465.2025,-0.460,+6.33829700E-010
1465.2,-0.04,1465.3030,-0.340,+6.33761700E-010
1465.3,-0.04,1465.3988,-0.240,+6.37033800E-010
1465.4,-0.04,1465.4953,-0.280,+6.37289900E-010
1465.5,-0.04,1465.6008,-0.320,+6.37206600E-010
1465.6,-0.04,1465.6999,-0.300,+6.37298800E-010
1465.7,-0.04,1465.7980,-0.370,+6.36911200E-010
1465.8,-0.04,1465.8916,-0.310,+6.36513100E-010
1465.9,-0.04,1465.9916,-0.280,+6.37019500E-010
1466,-0.04,1466.0917,-0.270,+6.37048100E-010
1466.1,-0.05,1466.1908,-0.410,+6.36277000E-010
1466.2,-0.04,1466.2906,-0.570,+6.36749000E-010
1466.3,-0.04,1466.3897,-0.350,+6.37230400E-010
1466.4,-0.05,1466.4887,-0.260,+6.36772900E-010
1466.5,-0.05,1466.5883,-0.310,+6.36749500E-010
1466.6,-0.04,1466.6861,-0.340,+6.36584500E-010
1466.7,-0.05,1466.7855,-0.390,+6.36685800E-010
1466.8,-0.04,1466.8812,-0.340,+6.34749400E-010
1466.9,-0.05,1466.9802,-0.290,+6.33289500E-010
1467,-0.04,1467.0825,-0.290,+6.30460500E-010
1467.1,-0.04,1467.1882,-0.310,+6.34304200E-010
1467.2,-0.04,1467.2877,-0.290,+6.35737500E-010
1467.3,-0.04,1467.3869,-0.330,+6.36102900E-010
1467.4,-0.04,1467.4861,-0.370,+6.33206200E-010
1467.5,-0.04,1467.5847,-0.380,+6.35091600E-010
1467.6,-0.04,1467.6834,-0.360,+6.33663200E-010
1467.7,-0.04,1467.7830,-0.310,+6.37510400E-010
1467.8,-0.04,1467.8802,-0.290,+6.38423900E-010
1467.9,-0.05,1467.9784,-0.450,+6.37991700E-010
1468,-0.05,1468.0816,-0.420,+6.38292700E-010
1468.1,-0.04,1468.1825,-0.410,+6.37706200E-010
1468.2,-0.04,1468.2812,-0.290,+6.38163400E-010
1468.3,-0.04,1468.3772,-0.300,+6.37709100E-010
1468.4,-0.05,1468.4770,-0.340,+6.37824100E-010
1468.5,-0.04,1468.5769,-0.350,+6.37592600E-010
1468.6,-0.05,1468.6748,-0.370,+6.37589300E-010
1468.7,-0.05,1468.7722,-0.310,+6.37963200E-010
1468.8,-0.05,1468.8742,-0.310,+6.37638700E-010
1468.9,-0.05,1468.9725,-0.340,+6.37940700E-010
1469,-0.05,1469.0702,-0.410,+6.37782200E-010
1469.1,-0.05,1469.1692,-0.450,+6.37697500E-010
1469.2,-0.05,1469.2692,-0.330,+6.37318100E-010
1469.3,-0.05,1469.3665,-0.290,+6.37512400E-010
1469.4,-0.05,1469.4656,-0.370,+6.37592400E-010
1469.5,-0.05,1469.5678,-0.330,+6.37823600E-010
1469.6,-0.04,1469.6718,-0.360,+6.37665000E-010
1469.7,-0.05,1469.7730,-0.390,+6.37384000E-010
1469.8,-0.05,1469.8704,-0.360,+6.37863400E-010
1469.9,-0.05,1469.9682,-0.340,+6.37382800E-010
1470,-0.05,1470.0669,-0.330,+6.37406800E-010
1470,-0.05,1470.0666,-0.270,+6.37147500E-010
