T100 WAVELENGTH,T100 POWER,POWER METER READING
1420,-0.05,-0.0575136
1420,0.05,0.0404738
1420,0.16,0.150843
1420,0.27,0.25992
1420,0.36,0.350361
1420,0.46,0.452318
1420,0.56,0.552606
1420,0.67,0.664411
1420,0.77,0.760087
1420,0.87,0.866086
1420,0.98,0.970351
1420,1.08,1.07207
1420,1.18,1.17179
1420,1.27,1.26816
1420,1.38,1.37521
1420,1.48,1.47928
1420,1.59,1.58135
1420,1.68,1.68008
1420,1.78,1.7773
1420,1.89,1.88304
1420,1.99,1.98568
1420,2.09,2.08617
1420,2.19,2.18466
1420,2.29,2.2896
1420,2.39,2.38387
1420,2.49,2.48498
1420,2.6,2.59196
1420,2.69,2.68754
1420,2.79,2.7909
1420,2.89,2.89067
1420,3,2.99708
1420,3.1,3.09307
1420,3.2,3.19357
1420,3.3,3.30044
1420,3.4,3.39649
1420,3.5,3.498
1420,3.6,3.5967
1420,3.7,3.69995
1420,3.8,3.80108
1420,3.9,3.89955
1420,4,4.00067
1420,4.09,4.09404
1420,4.21,4.20885
1420,4.31,4.31013
1420,4.41,4.40989
1420,4.51,4.50752
1420,4.61,4.60828
1420,4.71,4.71274
1420,4.81,4.80897
1420,4.91,4.91448
1420,5.01,5.01134
1420,5.11,5.11147
1420,5.21,5.21383
1420,5.31,5.31396
1420,5.42,5.41686
1420,5.52,5.51715
1420,5.61,5.61454
1420,5.71,5.7144
1420,5.82,5.81628
1420,5.91,5.91534
1420,6.01,6.01378
1420,6.09,6.09326
1420,5.73,5.73022
1420,6.33,6.336
1420,6.42,6.42406
1420,6.52,6.52105
1420,6.62,6.6232
1420,6.72,6.72309
1420,6.82,6.82415
1420,6.92,6.92298
1420,7.02,7.02262
1420,7.12,7.1233
1420,7.22,7.22442
1420,7.32,7.32269
1420,7.42,7.4194
1420,7.37,7.37175
1420,7.18,7.18732
1420,7.04,7.05426
1420,6.94,6.93968
1420,6.85,6.8499
1420,6.78,6.78415
1420,6.73,6.72688
1420,6.68,6.68102
1420,6.64,6.64411
1420,6.61,6.61331
1420,6.59,6.58768
1420,6.57,6.56633
1420,6.55,6.54719
1420,6.53,6.53067
1420,6.52,6.51644
1420,6.5,6.50262
1420,6.5,6.49016
1420,6.48,6.4817
1420,6.49,6.48672
1420,6.46,6.4577
1420,6.45,6.44689
1420,6.44,6.43888
1420,6.43,6.43095
1420,6.42,6.42007
1420,6.42,6.41026
1420,6.4,6.40313
