T100 Wavelength,Desired T100 Output Power,T100 Output Power,Power Meter Wavelength,Power Meter Reading
1345,-6.9,-6.94,1250,-6.90333,
1345,-6.8,-6.88,1250,-6.45492,
1345,-6.7,-6.78,1250,-6.37964,
1345,-6.6,-6.65,1250,-6.23439,
1345,-6.5,-6.56,1250,-6.16014,
1345,-6.4,-6.42,1250,-6.02175,
1345,-6.3,-6.37,1250,-5.95775,
1345,-6.2,-6.28,1250,-5.88791,
1345,-6.1,-6.15,1250,-5.75665,
1345,-6,-6.02,1250,-5.62972,
1345,-5.9,-5.96,1250,-5.56831,
1345,-5.8,-5.83,1250,-5.44985,
1345,-5.7,-5.77,1250,-5.38808,
1345,-5.6,-5.66,1250,-5.2711,
1345,-5.5,-5.54,1250,-5.15801,
1345,-5.4,-5.43,1250,-5.04733,
1345,-5.3,-5.32,1250,-4.94124,
1345,-5.2,-5.26,1250,-4.88892,
1345,-5.1,-5.17,1250,-4.78592,
1345,-5,-5.06,1250,-4.6835,
1345,-4.9,-4.96,1250,-4.5867,
1345,-4.8,-4.86,1250,-4.48878,
1345,-4.7,-4.71,1250,-4.34682,
1345,-4.6,-4.62,1250,-4.25529,
1345,-4.5,-4.53,1250,-4.16647,
1345,-4.4,-4.44,1250,-4.07785,
1345,-4.3,-4.35,1250,-3.99151,
1345,-4.2,-4.22,1250,-3.86766,
1345,-4.1,-4.14,1250,-3.78433,
1345,-4,-4.02,1250,-3.66284,
1345,-3.9,-3.94,1250,-3.58458,
1345,-3.8,-3.82,1250,-3.47145,
1345,-3.7,-3.75,1250,-3.3968,
1345,-3.6,-3.64,1250,-3.2855,
1345,-3.5,-3.53,1250,-3.17972,
1345,-3.4,-3.42,1250,-3.07418,
1345,-3.3,-3.32,1250,-2.9745,
1345,-3.2,-3.22,1250,-2.87195,
1345,-3.1,-3.12,1250,-2.77462,
1345,-3,-3.02,1250,-2.67892,
1345,-2.9,-2.92,1250,-2.58582,
1345,-2.8,-2.83,1250,-2.49301,
1345,-2.7,-2.71,1250,-2.37396,
1345,-2.6,-2.62,1250,-2.28693,
1345,-2.5,-2.51,1250,-2.17391,
1345,-2.4,-2.42,1250,-2.08973,
1345,-2.3,-2.31,1250,-1.98138,
1345,-2.2,-2.23,1250,-1.90195,
1345,-2.1,-2.13,1250,-1.7981,
1345,-2,-2.03,1250,-1.69589,
1345,-1.9,-1.93,1250,-1.59755,
1345,-1.8,-1.83,1250,-1.49976,
1345,-1.7,-1.71,1250,-1.38127,
1345,-1.6,-1.62,1250,-1.28845,
1345,-1.5,-1.53,1250,-1.19828,
1345,-1.4,-1.41,1250,-1.0872,
1345,-1.3,-1.33,1250,-1.00094,
1345,-1.2,-1.22,1250,-0.894301,
1345,-1.1,-1.11,1250,-0.792035,
1345,-1,-1.01,1250,-0.690874,
1345,-0.9,-0.91,1250,-0.592238,
1345,-0.8,-0.82,1250,-0.495939,
1345,-0.7,-0.72,1250,-0.402347,
1345,-0.6,-0.61,1250,-0.290965,
1345,-0.5,-0.52,1250,-0.201392,
1345,-0.4,-0.42,1250,-0.096163,
1345,-0.3,-0.31,1250,0.00707324,
1345,-0.2,-0.21,1250,0.108357,
1345,-0.1,-0.11,1250,0.206956,
1345,-8.13238e-15,-0.11,1250,0.206823,
1345,0.1,0.08,1250,0.397808,
1345,0.2,0.19,1250,0.504671,
1345,0.3,0.29,1250,0.609904,
1345,0.4,0.38,1250,0.697606,
1345,0.5,0.48,1250,0.797549,
1345,0.6,0.58,1250,0.895551,
1345,0.7,0.69,1250,1.00507,
1345,0.8,0.78,1250,1.09813,
1345,0.9,0.89,1250,1.20269,
1345,1,0.99,1250,1.30464,
1345,1.1,1.09,1250,1.40441,
1345,1.2,1.19,1250,1.50203,
1345,1.3,1.28,1250,1.59707,
1345,1.4,1.39,1250,1.70218,
1345,1.5,1.49,1250,1.80417,
1345,1.6,1.59,1250,1.90449,
1345,1.7,1.69,1250,2.00205,
1345,1.8,1.79,1250,2.09787,
1345,1.9,1.89,1250,2.20215,
1345,2,1.99,1250,2.3031,
1345,2.1,2.09,1250,2.40208,
1345,2.2,2.19,1250,2.49921,
1345,2.3,2.29,1250,2.60296,
1345,2.4,2.39,1250,2.69559,
1345,2.5,2.49,1250,2.79545,
1345,2.6,2.59,1250,2.90118,
1345,2.7,2.69,1250,2.99588,
1345,2.8,2.79,1250,3.098,
1345,2.9,2.89,1250,3.19728,
1345,3,2.99,1250,3.30211,
1345,3.1,3.09,1250,3.39712,
1345,3.2,3.19,1250,3.49681,
1345,3.3,3.3,1250,3.60238,
1345,3.4,3.39,1250,3.69818,
1345,3.5,3.49,1250,3.79878,
1345,3.6,3.59,1250,3.89712,
1345,3.7,3.69,1250,3.99978,
1345,3.8,3.79,1250,4.10088,
1345,3.9,3.89,1250,4.19925,
1345,4,3.99,1250,4.30185,
1345,4.1,4.09,1250,4.40187,
1345,4.2,4.19,1250,4.49978,
1345,4.3,4.29,1250,4.60168,
1345,4.4,4.39,1250,4.7006,
1345,4.5,4.49,1250,4.79778,
1345,4.6,4.59,1250,4.89854,
1345,4.7,4.69,1250,5.00241,
1345,4.8,4.79,1250,5.09811,
1345,4.9,4.89,1250,5.20264,
1345,5,4.99,1250,5.2994,
1345,5.1,5.09,1250,5.39901,
1345,5.2,5.19,1250,5.501,
1345,5.3,5.29,1250,5.60104,
1345,5.4,5.39,1250,5.70323,
1345,5.5,5.49,1250,5.80309,
1345,5.6,5.59,1250,5.90081,
1345,5.7,5.69,1250,6.00031,
1345,5.8,5.8,1250,6.10234,
1345,5.9,5.89,1250,6.20188,
1345,6,5.99,1250,6.30315,
1345,6.1,6.09,1250,6.40203,
1345,6.2,6.19,1250,6.50265,
1345,6.3,6.29,1250,6.60467,
1345,6.4,6.39,1250,6.70435,
1345,6.5,6.49,1250,6.80188,
1345,6.6,6.59,1250,6.90412,
1345,6.7,6.69,1250,7.00404,
1345,6.8,6.8,1250,7.10528,
1345,6.9,6.89,1250,7.20418,
1345,7,6.99,1250,7.30375,
1345,-6.9,-6.94,1255,-6.52181,
1345,-6.8,-6.86,1255,-6.46386,
1345,-6.7,-6.78,1255,-6.39112,
1345,-6.6,-6.64,1255,-6.24717,
1345,-6.5,-6.56,1255,-6.17473,
1345,-6.4,-6.42,1255,-6.03625,
1345,-6.3,-6.35,1255,-5.97302,
1345,-6.2,-6.27,1255,-5.90393,
1345,-6.1,-6.13,1255,-5.77289,
1345,-6,-6.01,1255,-5.64639,
1345,-5.9,-5.96,1255,-5.58569,
1345,-5.8,-5.83,1255,-5.46718,
1345,-5.7,-5.77,1255,-5.40524,
1345,-5.6,-5.66,1255,-5.28859,
1345,-5.5,-5.54,1255,-5.17531,
1345,-5.4,-5.43,1255,-5.06492,
1345,-5.3,-5.32,1255,-4.959,
1345,-5.2,-5.25,1255,-4.90662,
1345,-5.1,-5.15,1255,-4.80327,
1345,-5,-5.04,1255,-4.70132,
1345,-4.9,-4.96,1255,-4.60467,
1345,-4.8,-4.86,1255,-4.50697,
1345,-4.7,-4.71,1255,-4.3647,
1345,-4.6,-4.61,1255,-4.2731,
1345,-4.5,-4.53,1255,-4.1845,
1345,-4.4,-4.44,1255,-4.09594,
1345,-4.3,-4.35,1255,-4.00961,
1345,-4.2,-4.22,1255,-3.88571,
1345,-4.1,-4.14,1255,-3.80252,
1345,-4,-4.02,1255,-3.68124,
1345,-3.9,-3.94,1255,-3.60314,
1345,-3.8,-3.82,1255,-3.49012,
1345,-3.7,-3.75,1255,-3.41566,
