T100 Wavelength,Desired T100 Output Power,T100 Output Power,Power Meter Wavelength,Power Meter Reading
1470,-6.9,-6.9,1350,-84.4724,
1470,-6.8,-6.82,1350,-84.8026,
1470,-6.7,-6.77,1350,-84.8692,
1470,-6.6,-6.6,1350,-85.1112,
1470,-6.5,-6.53,1350,-84.2534,
1470,-6.4,-6.4,1350,-84.8754,
1470,-6.3,-6.32,1350,-84.2007,
1470,-6.2,-6.27,1350,-85.0359,
1470,-6.1,-6.12,1350,-84.7965,
1470,-6,-5.99,1350,-84.5668,
1470,-5.9,-5.93,1350,-84.9885,
1470,-5.8,-5.8,1350,-85.239,
1470,-5.7,-5.74,1350,-84.7368,
1470,-5.6,-5.61,1350,-84.428,
1470,-5.5,-5.51,1350,-84.5341,
1470,-5.4,-5.4,1350,-84.3895,
1470,-5.3,-5.28,1350,-84.3703,
1470,-5.2,-5.22,1350,-84.9091,
1470,-5.1,-5.12,1350,-84.52,
1470,-5,-5.02,1350,-84.6328,
1470,-4.9,-4.93,1350,-84.8372,
1470,-4.8,-4.83,1350,-84.564,
1470,-4.7,-4.68,1350,-84.7044,
1470,-4.6,-4.6,1350,-84.6183,
1470,-4.5,-4.49,1350,-84.6576,
1470,-4.4,-4.41,1350,-84.8555,
1470,-4.3,-4.32,1350,-84.6141,
1470,-4.2,-4.2,1350,-84.7147,
1470,-4.1,-4.12,1350,-84.9168,
1470,-4,-3.99,1350,-84.6155,
1470,-3.9,-3.91,1350,-84.8328,
1470,-3.8,-3.79,1350,-84.5313,
1470,-3.7,-3.72,1350,-84.7339,
1470,-3.6,-3.61,1350,-84.6619,
1470,-3.5,-3.51,1350,-84.5597,
1470,-3.4,-3.39,1350,-84.8525,
1470,-3.3,-3.3,1350,-85.0598,
1470,-3.2,-3.2,1350,-85.0248,
1470,-3.1,-3.09,1350,-84.8799,
1470,-3,-3,1350,-84.6619,
1470,-2.9,-2.9,1350,-85.137,
1470,-2.8,-2.82,1350,-84.8723,
1470,-2.7,-2.69,1350,-85.2943,
1470,-2.6,-2.6,1350,-84.9619,
1470,-2.5,-2.49,1350,-84.5017,
1470,-2.4,-2.4,1350,-84.7147,
1470,-2.3,-2.29,1350,-84.795,
1470,-2.2,-2.21,1350,-84.5426,
1470,-2.1,-2.11,1350,-84.8983,
1470,-2,-2.01,1350,-84.8647,
1470,-1.9,-1.91,1350,-85.2124,
1470,-1.8,-1.81,1350,-85.2175,
1470,-1.7,-1.69,1350,-85.3349,
1470,-1.6,-1.6,1350,-84.5825,
1470,-1.5,-1.51,1350,-84.3758,
1470,-1.4,-1.4,1350,-84.5045,
1470,-1.3,-1.31,1350,-84.3001,
1470,-1.2,-1.2,1350,-84.8449,
1470,-1.1,-1.09,1350,-85.2624,
1470,-1,-1,1350,-84.7044,
1470,-0.9,-0.9,1350,-84.786,
1470,-0.8,-0.8,1350,-84.571,
1470,-0.7,-0.71,1350,-84.63,
1470,-0.6,-0.6,1350,-85.0886,
1470,-0.5,-0.51,1350,-84.7339,
1470,-0.4,-0.4,1350,-84.2508,
1470,-0.3,-0.3,1350,-84.6985,
1470,-0.2,-0.19,1350,-85.0311,
1470,-0.1,-0.1,1350,-85.1225,
1470,-8.13238e-15,-0.1,1350,-84.7412,
1470,0.1,0.09,1350,-84.6692,
1470,0.2,0.2,1350,-84.9823,
1470,0.3,0.31,1350,-84.6415,
1470,0.4,0.39,1350,-84.7457,
1470,0.5,0.5,1350,-85.1128,
1470,0.6,0.59,1350,-84.4892,
1470,0.7,0.7,1350,-84.6926,
1470,0.8,0.8,1350,-84.7755,
1470,0.9,0.9,1350,-84.8525,
1470,1,1.01,1350,-84.8387,
1470,1.1,1.1,1350,-84.7905,
1470,1.2,1.2,1350,-84.3772,
1470,1.3,1.3,1350,-84.5982,
1470,1.4,1.4,1350,-84.78,
1470,1.5,1.51,1350,-85.0694,
1470,1.6,1.61,1350,-84.8434,
1470,1.7,1.7,1350,-84.7636,
