SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
4,1.53,1465,0000.0000,-3.52985
4,1.71,1466,0000.0000,-3.60981
4,1.63,1467,0000.0000,-3.48992
4,1.75,1468,0000.0000,-3.62407
4,1.61,1469,0000.0000,-3.55556
4,1.67,1470,0000.0000,-3.54928
4,1.69,1471,0000.0000,-3.63492
4,1.6,1472,0000.0000,-3.50751
4,1.73,1473,0000.0000,-3.59466
4,1.64,1474,0000.0000,-3.55783
4,1.68,1475,0000.0000,-3.49099
4,1.74,1476,0000.0000,-3.5871
4,1.64,1477,0000.0000,-3.47691
4,1.75,1478,0000.0000,-3.51811
4,1.71,1479,0000.0000,-3.53739
4,1.69,1480,0000.0000,-3.4268
4,1.79,1481,0000.0000,-3.53047
4,1.69,1482,0000.0000,-3.47665
4,1.74,1483,0000.0000,-3.45155
4,1.76,1484,0000.0000,-3.55304
4,1.66,1485,0000.0000,-3.41733
4,1.78,1486,0000.0000,-3.49518
4,1.7,1487,0000.0000,-3.50246
4,1.69,1488,0000.0000,-3.41679
4,1.77,1489,0000.0000,-3.53541
4,1.65,1490,0000.0000,-3.44799
4,1.74,1491,0000.0000,-3.44675
4,1.74,1492,0000.0000,-3.53983
4,1.64,1493,0000.0000,-3.39729
4,1.78,1494,0000.0000,-3.50271
4,1.68,1495,0000.0000,-3.48417
4,1.7,1496,0000.0000,-3.41725
4,1.76,1497,0000.0000,-3.52972
4,1.64,1498,0000.0000,-3.41159
4,1.76,1499,0000.0000,-3.43602
4,1.73,1500,0000.0000,-3.48269
4,1.67,1501,1500.6546,-3.37248
4,1.78,1502,1501.6492,-3.44969
4,1.7,1503,1502.6486,-3.44504
4,1.7,1504,1503.6505,-3.354
4,1.78,1505,1504.6434,-3.47617
4,1.66,1506,1505.6320,-3.38253
4,1.74,1507,1506.6161,-3.36627
4,1.75,1508,1507.6081,-3.48215
4,1.63,1509,1508.6064,-3.3316
4,1.78,1510,1509.6048,-3.42859
4,1.69,1511,1510.6026,-3.46016
4,1.66,1512,1511.6042,-3.37845
4,1.73,1513,1512.6341,-3.49161
4,1.61,1514,1513.6283,-3.45411
4,1.64,1515,1514.6292,-3.41193
4,1.69,1516,1515.6340,-3.54562
4,1.55,1517,1516.6330,-3.44759
4,1.65,1518,1517.6288,-3.48018
4,1.62,1519,1518.6517,-3.5692
4,1.53,1520,1519.6508,-3.46338
4,1.64,1521,1520.6593,-3.55232
4,1.56,1522,1521.6588,-3.56398
4,1.55,1523,1522.6583,-3.45393
4,1.66,1524,1523.6509,-3.58558
4,1.52,1525,1524.6476,-3.51169
4,1.6,1526,1525.6407,-3.47198
4,1.64,1527,1526.6362,-3.56233
4,1.56,1528,1527.6311,-3.46191
4,1.66,1529,1528.6283,-3.45018
4,1.67,1530,1529.6282,-3.53912
4,1.58,1531,1530.6329,-3.41912
4,1.7,1532,1531.6325,-3.49271
4,1.62,1533,1532.6354,-3.54713
4,1.57,1534,1533.6370,-3.42552
4,1.69,1535,1534.6378,-3.53665
4,1.58,1536,1535.6376,-3.51492
4,1.6,1537,1536.6461,-3.43702
4,1.68,1538,1537.6499,-3.5446
4,1.57,1539,1538.6429,-3.49602
4,1.61,1540,1539.6483,-3.42778
4,1.68,1541,1540.6436,-3.56273
4,1.54,1542,1541.6452,-3.44551
4,1.64,1543,1542.6392,-3.46204
4,1.63,1544,1543.6352,-3.54625
4,1.53,1545,1544.6233,-3.42033
4,1.65,1546,1545.6080,-3.42721
4,1.64,1547,1546.5976,-3.50351
4,1.57,1548,1547.5956,-3.36795
4,1.7,1549,1548.6048,-3.42857
4,1.63,1550,1549.6098,-3.46764
4,1.59,1551,1550.6093,-3.34786
4,1.71,1552,1551.6047,-3.46596
4,1.59,1553,1552.6047,-3.46458
4,1.59,1554,1553.5994,-3.37112
4,1.69,1555,1554.6060,-3.46723
4,1.59,1556,1555.6139,-3.44759
4,1.6,1557,1556.6205,-3.35406
4,1.68,1558,1557.6212,-3.51034
4,1.52,1559,1558.6193,-3.43452
4,1.59,1560,1559.6192,-3.39314
4,1.62,1561,1560.6182,-3.49583
4,1.51,1562,1561.6176,-3.4061
4,1.6,1563,1562.6125,-3.35615
4,1.64,1564,1563.6090,-3.46039
4,1.53,1565,1564.5936,-3.38038
4,1.61,1566,1565.5910,-3.34713
4,1.64,1567,1566.5860,-3.46439
4,1.52,1568,1567.5919,-3.33959
4,1.64,1569,1568.5991,-3.33654
4,1.64,1570,1569.6054,-3.42294
4,1.55,1571,1570.6087,-3.32399
4,1.65,1572,1571.6103,-3.36294
4,1.61,1573,1572.6136,-3.48876
4,1.49,1574,1573.6211,-3.39381
4,1.59,1575,1574.6225,-3.45203
