Desired T100 Wavelength,Actual T100 Wavelength,Desired T100 Output Power,Actual T100 Output Power,Power Meter Wavelength Setting,Power Meter Reading
1550,1680,0,-0.01,1550,-59.063,
1550,1680,2,2,1550,-59.0573,
1550,1680,4,4,1550,-59.0666,
1550,1680,6,6,1550,-59.0778,
1550,1680,8,7.61,1550,-59.071,
1551,1680,0,0,1551,-59.0447,
1551,1680,2,2,1551,-59.0386,
1551,1680,4,4,1551,-59.0391,
1551,1680,6,6,1551,-59.0387,
1551,1680,8,7.35,1551,-59.0357,
1552,1680,0,0,1552,-59.0374,
1552,1680,2,2,1552,-59.0367,
1552,1680,4,4,1552,-59.0376,
1552,1680,6,6,1552,-59.0371,
1552,1680,8,7.28,1552,-59.0369,
1553,1680,0,0,1553,-59.0376,
1553,1680,2,2,1553,-59.0389,
1553,1680,4,4,1553,-59.0379,
1553,1680,6,6,1553,-59.039,
1553,1680,8,7.24,1553,-59.0373,
1554,1680,0,0,1554,-59.0399,
1554,1680,2,2,1554,-59.0407,
1554,1680,4,4,1554,-59.0405,
1554,1680,6,6,1554,-59.04,
1554,1680,8,7.23,1554,-59.0401,
1555,1680,0,0,1555,-59.0384,
1555,1680,2,2,1555,-59.0409,
1555,1680,4,4,1555,-59.0417,
1555,1680,6,6,1555,-59.0417,
1555,1680,8,7.22,1555,-59.0409,
1556,1680,0,0,1556,-59.0416,
1556,1680,2,2,1556,-59.0406,
1556,1680,4,4,1556,-59.0398,
1556,1680,6,6,1556,-59.0411,
1556,1680,8,7.19,1556,-59.0412,
1557,1680,0,0,1557,-59.0399,
1557,1680,2,2,1557,-59.0431,
1557,1680,4,4,1557,-59.0428,
1557,1680,6,6,1557,-59.0416,
1557,1680,8,7.18,1557,-59.043,
1558,1680,0,0,1558,-59.0452,
1558,1680,2,2,1558,-59.048,
1558,1680,4,4,1558,-59.0464,
1558,1680,6,6,1558,-59.0484,
1558,1680,8,7.17,1558,-59.0476,
1559,1680,0,0,1559,-59.0462,
1559,1680,2,2,1559,-59.0453,
1559,1680,4,4,1559,-59.0474,
1559,1680,6,6,1559,-59.0465,
1559,1680,8,7.17,1559,-59.0469,
1560,1560,0,0,1560,-59.0453,
1560,1560,2,2,1560,-59.0456,
1560,1560,4,4,1560,-59.0458,
1560,1560,6,6,1560,-59.0463,
1560,1560,8,8,1560,-59.0459,
1561,1561,0,0,1561,-59.0448,
1561,1561,2,2,1561,-59.0485,
1561,1561,4,4,1561,-59.0465,
1561,1561,6,6,1561,-59.0465,
1561,1561,8,8,1561,-59.0474,
1562,1562,0,0,1562,-59.0447,
1562,1562,2,2,1562,-59.0473,
1562,1562,4,4,1562,-59.0472,
1562,1562,6,6,1562,-59.0449,
1562,1562,8,8,1562,-59.0471,
1563,1563,0,0,1563,-59.0476,
1563,1563,2,2,1563,-59.0461,
1563,1563,4,4,1563,-59.0466,
1563,1563,6,6,1563,-59.045,
1563,1563,8,8,1563,-59.0453,
1564,1564,0,0,1564,-59.0447,
1564,1564,2,2,1564,-59.0441,
1564,1564,4,4,1564,-59.0468,
1564,1564,6,6,1564,-59.0457,
1564,1564,8,8,1564,-59.045,
1565,1565,0,0,1565,-59.046,
1565,1565,2,2,1565,-59.0455,
1565,1565,4,4,1565,-59.044,
1565,1565,6,6,1565,-59.0462,
1565,1565,8,8,1565,-59.0497,
1566,1566,0,0,1566,-59.0491,
1566,1566,2,2,1566,-59.0478,
1566,1566,4,4,1566,-59.0481,
1566,1566,6,6,1566,-59.0488,
1566,1566,8,8,1566,-59.0458,
1567,1567,0,0,1567,-59.0442,
1567,1567,2,2,1567,-59.0451,
1567,1567,4,4,1567,-59.0453,
1567,1567,6,6,1567,-59.0466,
1567,1567,8,8,1567,-59.0457,
1568,1568,0,0,1568,-59.0461,
1568,1568,2,2,1568,-59.047,
1568,1568,4,4,1568,-59.0455,
1568,1568,6,6,1568,-59.0453,
1568,1568,8,8,1568,-59.0467,
1569,1569,0,0,1569,-59.0477,
1569,1569,2,2,1569,-59.0465,
1569,1569,4,4,1569,-59.0463,
1569,1569,6,6,1569,-59.0469,
1569,1569,8,8,1569,-59.0458,
1570,1570,0,0,1570,-59.0464,
1570,1570,2,2,1570,-59.0472,
1570,1570,4,4,1570,-59.0466,
1570,1570,6,6,1570,-59.0489,
1570,1570,8,8,1570,-59.047,
1571,1571,0,0,1571,-59.0473,
1571,1571,2,2,1571,-59.047,
1571,1571,4,4,1571,-59.0475,
1571,1571,6,6,1571,-59.0483,
1571,1571,8,8,1571,-59.0481,
1572,1572,0,0,1572,-59.046,
1572,1572,2,2,1572,-59.0472,
1572,1572,4,4,1572,-59.0485,
1572,1572,6,6,1572,-59.0475,
1572,1572,8,8,1572,-59.0466,
